instruction,input,output
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lau in the year 2019?,Top crop: Maize with a yield of 440.02465108771486 kg/ha. Top livestock: Poultry with a count of 440.02465108771486.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2024?,Top crop: Tomato with a yield of 925.2071641121224 kg/ha. Top livestock: Goat with a count of 925.2071641121224.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2022?,Top crop: Soybean with a yield of 661.1407816701048 kg/ha. Top livestock: Poultry with a count of 661.1407816701048.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2023?,Top crop: Sorghum with a yield of 787.5426293179531 kg/ha. Top livestock: Goat with a count of 787.5426293179531.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2024?,Top crop: Groundnut with a yield of 935.4202334084 kg/ha. Top livestock: Cattle with a count of 935.4202334084.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2019?,Top crop: Cassava with a yield of 852.8915216885139 kg/ha. Top livestock: Goat with a count of 852.8915216885139.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2015?,Top crop: Sorghum with a yield of 838.0122546843523 kg/ha. Top livestock: Goat with a count of 838.0122546843523.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2016?,Top crop: Cassava with a yield of 381.8448055176456 kg/ha. Top livestock: Pig with a count of 381.8448055176456.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2023?,Top crop: Maize with a yield of 562.6561775323877 kg/ha. Top livestock: Pig with a count of 562.6561775323877.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2025?,Top crop: Cassava with a yield of 651.292463427294 kg/ha. Top livestock: Pig with a count of 651.292463427294.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2017?,Top crop: Millet with a yield of 867.7749364558441 kg/ha. Top livestock: Pig with a count of 867.7749364558441.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zangon Kataf in the year 2019?,Top crop: Sorghum with a yield of 262.3449211227411 kg/ha. Top livestock: Poultry with a count of 262.3449211227411.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2015?,Top crop: Tomato with a yield of 885.9438771193422 kg/ha. Top livestock: Sheep with a count of 885.9438771193422.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2019?,Top crop: Tomato with a yield of 836.2980868511331 kg/ha. Top livestock: Pig with a count of 836.2980868511331.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2017?,Top crop: Soybean with a yield of 273.7536605916947 kg/ha. Top livestock: Goat with a count of 273.7536605916947.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2023?,Top crop: Cassava with a yield of 599.1153224913783 kg/ha. Top livestock: Pig with a count of 599.1153224913783.
